# 네이버 부동산 단지 링크
# 형식: 단지ID | 단지명 | 네이버부동산URL
# URL: https://land.naver.com/complex/complexMain.naver?hscpNo=XXXXX

# ── 명지오션시티 ─────────────────────────────────────────────────────────────
ecodelta_dietr_first    | 디에트르더퍼스트         |  https://new.land.naver.com/complexes/158598?ms=2z8DCH,3AB8qy,17&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_atheara        | 아테라                   |  https://new.land.naver.com/complexes/184519?ms=2z8DCH,3AB8qy,17&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true
ecodelta_daebang        | 대방엘리움리버뷰         |  https://new.land.naver.com/complexes/189037?ms=2z8m8i,3ABleP,16&a=APT:PRE:ABYG:JGC&e=RETAIL&ad=true

# ── 오피스텔 ─────────────────────────────────────────────────────────────────
# 형식: API 단지명 (offiNm 그대로) | 표시명 | 네이버부동산URL
offi_theshap2           | 더샵 명지퍼스트월드 2단지          | https://new.land.naver.com/complexes/118420?ms=2z6r9n,3AAz0g,18&a=OPST&e=RETAIL&ad=true
offi_samjung_west       | 명지 삼정그린코아 웨스트           | https://new.land.naver.com/complexes/106827?ms=2z65KG,3AApXB,17&a=OPST&e=RETAIL&ad=true
offi_samjung_kukje      | 명지국제신도시 삼정그린코아 더베스트 | https://new.land.naver.com/complexes/112547?ms=2z6vcG,3AAKoi,18&a=OPST&e=RETAIL&ad=true
offi_cheongsan          | 명지 청산오션타워                  | https://new.land.naver.com/complexes/108958?ms=2z5MxN,3AAlNL,17&a=OPST&e=RETAIL&ad=true
offi_zenaus             | 부산 명지 제나우스 블루오션 오피스텔 | https://new.land.naver.com/complexes/120778?ms=2z6dRv,3AAD9e,18&a=OPST&e=RETAIL&ad=true
offi_daebang1           | 부산명지 대방디엠시티 센텀오션1차   | https://new.land.naver.com/complexes/119739?ms=2z6eWL,3AAD9e,18&a=OPST&e=RETAIL&ad=true
offi_daebang2           | 부산명지 대방디엠시티 센텀오션2차   | https://new.land.naver.com/complexes/119740?ms=2z6fGT,3AAD9e,18&a=OPST&e=RETAIL&ad=true
offi_billive1           | 빌리브 명지 듀클래스 1단지         | https://new.land.naver.com/complexes/146821?ms=2z6bhC,3AAyI5,18&a=OPST&e=RETAIL&ad=true
offi_billive2           | 빌리브 명지 듀클래스 2단지         | https://new.land.naver.com/complexes/146822?ms=2z6bhC,3AAyI5,18&a=OPST&e=RETAIL&ad=true
offi_billive3           | 빌리브 명지 듀클래스 3단지         | https://new.land.naver.com/complexes/146823?ms=2z6bhC,3AAyI5,18&a=OPST&e=RETAIL&ad=true
offi_billive4           | 빌리브 명지 듀클래스 4단지         | https://new.land.naver.com/complexes/146824?ms=2z6bhC,3AAyI5,18&a=OPST&e=RETAIL&ad=true
offi_lotte              | 명지롯데프라자                    | https://new.land.naver.com/complexes/110145?ms=2z5Qgc,3AAggg,17&a=OPST&e=RETAIL&ad=true
offi_oceanfirst         | 오션퍼스트                       |  https://new.land.naver.com/complexes/147367?ms=2z6d3m,3AAwE2,17&a=OPST&e=RETAIL&ad=true
offi_dongoh             | 동오하이스트                     |
offi_samjeong_songjeong | 송정 삼정그린코아 더시티           | https://new.land.naver.com/complexes/118804?ms=2z62Jl,3AyG7Y,15&a=OPST&e=RETAIL&ad=true
offi_saemire            | 새미래오피스빌딩                  |
offi_woochang           | 우창팰리스                       |
offi_taewon             | 태원더블루원                     |
offi_samsung            | 삼성빌딩                        |

# ── 연립다세대 ───────────────────────────────────────────────────────────────
# 형식: API 단지명 (mhouseNm 그대로) | 표시명 | 네이버부동산URL
rh_jungheung_terrace    | 부산명지중흥S-클래스더테라스       |
